Unique ID,Brief description of event,State,District,Type of Event,Date,Number of Participants,Uploaded Geotag Photo,Uploaded Video Clip,Zoo_Name
87399,Mission LiFE Awareness among Housekeeping Staff at Zoo,Maharashtra (MH),Mumbai City,Awareness,17-05-2023,31,Mission LiFE pledged by staff,,VJBB Udyan & Zoo
106847,Guided Zoo tour and Paper bag Making workshop,Maharashtra (MH),Mumbai City,Action & Awareness,18-05-2023,147,Guided Zoo tour and Paper bag making workshop,,VJBB Udyan & Zoo
74434,"Awareness Program For Wise Use Of Inorganic Substances/ Materials. Continued Ban Of Plastics Inside The Zoo, More Actions And Preventive Measures Were Adopted. Lifestyle For Environment With Issues Related To The Environment. Distribution Of Newly Launched Zoo Staff Uniform.",Nagaland (NL),Dimapur,Action & Awareness,16-05-2023,25,Missin Life Pledge for Staff,"Awareness program & Talk on wise use of plastics, plastic ban, dsitribution of staff Tee-Shirts.","Nagaland Zoological Park, Rangapahar"
106851,"A Workshop Was Organised On ""Reptile Husbandry, Handling, Upkeep And Veterinary"", To Promote Awareness About The Importance Of Reptiles In Ecosystem Among Stakeholders",West Bengal,Kolkata,Action & Awareness,18-05-2023,50,Different events of the day,Not uploaded,"Zoological Garden, Alipore"
124389,A Wastebin Painting Event Was Organised For School Students Along With An Awareness Drive For The Visitors About The Importance Of Reuse-Reduce-Recycle. The Students Participated In Both The Events And Helped In Creating Awareness Among Common People. The Mission Life Materials Were Diplayed.,West Bengal,Kolkata,Action & Awareness,19-05-2023,15,Different events of the day,Wastebin Painting,"Zoological Garden, Alipore"
123026,Signature Campaign - Around 700 Signatures,Karnataka (KA),Bangalore Rural,Action,17-05-2023,700,Signature campaign,,Bannerghatta Biological Park
122857,Signature Pledge - Around 1200 Signatures,Karnataka (KA),Bangalore Rural,Action,18-05-2023,1000,Signature campaign,,Bannerghatta Biological Park
122818,Signature Pledge - Around 800 Signatures,Karnataka (KA),Bangalore Rural,Action,19-05-2023,800,signature campaign,,Bannerghatta Biological Park
121564,"As Part Of The Adopt Healthy Lifestyle Campaign , From 5th May To 18th May, 211 Visitors Used Bicycles In The Zoo Premises.",Karnataka (KA),Bangalore Rural,Action,05-05-2023,211,"Adopt Healthy Lifestyle Campaign ,",,Bannerghatta Biological Park
68565,"Awareness Session- Display Of Composting Method And Vermicomposting : Students And Visitors Were Educated About Segregation Of Dry And Wet Waste At Homes, Use Of Agricultural Residue, Animal Waste For Composting And Manuring.",Karnataka (KA),Mysore,Awareness,13-05-2023,59,Reduce Waste -Vermicompost Unit,Visit to Vermicompost Unit,Sri Chamarajendra ZG
69468,"Awareness Session- Display Of Composting Method And Vermicomposting : An Interactive Education Session Was Conducted For College Students Who Visited Zoo. They Were Educated About Segregation Of Dry And Wet Waste At Homes, Use Of Agricultural Residue, Animal Waste For Composting And Manuring.",Karnataka (KA),Mysore,Awareness,14-05-2023,35,Reduce Waste -Vermicompost Unit,Visit to Vermicompost Unit,Sri Chamarajendra ZG
113256,"As A Part Of Sustainable Mission Lifestyle, A Mass Mobilization Program Was Conducted To Promote Awareness About Environment Among Zoo Visitors. Poster Making And Lifestyle For Environment Campaign Was Conducted To Educate Visitors About “Mission LiFE For Pro-Planet People”",Karnataka (KA),Mysore,Action & Awareness,13-05-2023,250,Poster Making and Campaign,Awareness Campaign,Sri Chamarajendra ZG
124319,"Day 2 Of Campaign - As Part Of “Mission LiFE For Pro-Planet People” Awareness Program, A Mass Mobilization Program Was Conducted To Promote Lifestyle For Environment Campaign And Visitors Were Educated About Sustainable Healthy Lifestyles Followed By Distribution Of Paper Bags To Public.",Karnataka (KA),Mysore,Action & Awareness,14-05-2023,200,Awareness Campaign and Paper Bag Distribution,Awareness Campaign and Paper Bag Distribution,Sri Chamarajendra ZG
125858,,Maharashtra (MH),Mumbai City,Action & Awareness,19-05-2023,168,Mature Trail and Workshop,,VJBB Udyan & Zoo
