Unique ID,Brief description of event,State,District,Type of Event,Date,Number of Participants,Uploaded Geotag Photo,Uploaded Video Clip,Zoo_Name
35093,"As part of Life Mission Program, today the program was conducted on theme Reduce Single Use Plastic - Visitors Awareness Session.",Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,13-05-2023,70,Reduce Single Use Plastic,,Indira Gandhi ZP
35207,Healthy lifestyles Adopted – on topic Biodiversity Conservation along with a Butterfly Trail,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,13-05-2023,50,1. Healthy lifestyles Adopted,,Indira Gandhi ZP
2494,"Under 'Mission Life', information was given to the students, workers and tourists in the premises of the Lucknow Zoo and information about the bad effects of plastic on the environment and wildlife was given by the Education Officer of the Lucknow Zoo, Mrs. Neena Kumar in the Education center.",Uttar Pradesh (UP),Lucknow,Awareness,09-05-2023,175,Awareness Programme on my life,,Nawab Wajid Ali Shah ZG
3551,"Today, the tourists coming to Lucknow Zoo on save water under Mission Life were informed and made aware by Education Officer Mrs. Neena Kumar.",Uttar Pradesh (UP),Lucknow,Awareness,10-05-2023,55,Awareness Programme on my life,,Nawab Wajid Ali Shah ZG
11560,"Today, in the awareness program of Mission LiFE, it was told that every person has responsibility towards the environment. We should fulfill it.",Uttar Pradesh (UP),Lucknow,Awareness,11-05-2023,125,Awareness program,Awareness program,Nawab Wajid Ali Shah ZG
11562,"Today, in the awareness program of Mission LiFE, it was told that every person has responsibility towards the environment. We should fulfill it.",Uttar Pradesh (UP),Lucknow,Awareness,11-05-2023,125,Awareness program,Awareness program,Nawab Wajid Ali Shah ZG
22702,"In order to draw attention to the increasing rate of Air Pollution in the environment and to bring awareness about our lifestyle, a program was organized today at Saraswati Kanya Inter College, Lucknow.",Uttar Pradesh (UP),Lucknow,Awareness,12-05-2023,117,Awareness Programme on mission life,,Nawab Wajid Ali Shah ZG
22717,"To inform the messages of mission life, today a program was organized at Amacus Academy . The students were given information about mission life.",Uttar Pradesh (UP),Lucknow,Awareness,12-05-2023,170,Awareness Programme on mission life,,Nawab Wajid Ali Shah ZG
34019,???? ???? ?? ??????? ?????? 13.05.2023 ?? ?????? 6.45-7.45 ?? ???? ????? ??? ??? ?????? ?????? ??? ???? ????????? ??? ??????? ???? ????????? ????? ???,Uttar Pradesh (UP),Lucknow,Awareness,13-05-2023,45,Awareness Programme on mission life,Awareness Programme on mission life,Nawab Wajid Ali Shah ZG
34050,"Today, a meeting was held on Mission LiFE under the chairmanship of Director Mr. V.K.Mishra. In the meeting, a resolution was taken to organize educational programs in the Lucknow Zoo through awareness programs and to spread the message of Mission Life to the masses.",Uttar Pradesh (UP),Lucknow,Awareness,13-05-2023,25,Awareness Programme on mission life,Awareness Programme on mission life,Nawab Wajid Ali Shah ZG
36156,Students made paper bags out of old newspapers. About 350 bags were made. The idea of repurposing old papers to make paper bags that can be used instead of plastic bags was taught to students.,Karnataka (KA),Mysore,Action & Awareness,08-05-2023,65,Making of Paper Bags,Making of Paper Bags video,"Sri Chamarajendra Zoological Gardens, Mysuru"
36354,BEST OUT OF WASTE- Students were taught to use waste natural materials to prepare animal images and they were taught about their importance in our ecosystem and how to protect them by changing our lifestyle.,Karnataka (KA),Mysore,Action & Awareness,09-05-2023,60,BEST OUT OF WASTE,,"Sri Chamarajendra Zoological Gardens, Mysuru"
36494,Adopt Healthy Lifestyle actions - Preparation of Seed Balls,Karnataka (KA),Mysore,Action & Awareness,11-05-2023,60,Preparation of Seed Balls,Seed Balls Preparation,"Sri Chamarajendra Zoological Gardens, Mysuru"
36685,"Awareness session on sustainable lifestyle practices to contribute for sustainable environment. 
LiFE mission. # Pro Planet Program.",Karnataka (KA),Mysore,Awareness,12-05-2023,63,Meri LiFE Awareness Session,Meri LiFE Awareness Session,"Sri Chamarajendra Zoological Gardens, Mysuru"
35336,As a part of Mission LiFE campaign Zoo Biologist Dr. Abhishek Satam explained the concept of Mission Life to all the animal keepers at Veermata Jijabai Bhosle Botanical Udyan and Zoo following which everyone pledged their support and participation towards this mission.,Maharashtra (MH),Mumbai City,Action & Awareness,13-05-2023,20,The Keepers at Zoo taken pledged of mission LiFE,The Keepers at Zoo taken pledged of mission LiFE,VJBB Udyan & Zoo
40582,"Today we conducted part 1 of the 'Nurtured by Nature Kids Workshop'
It was indeed a fun learning experience for kids making natural colours using different fruits and vegetables and using them to create some lovely paintings! Followed by game web of Life.",Maharashtra (MH),Mumbai City,Action & Awareness,14-05-2023,40,Part 1 of the 'Nurtured by Nature Kids Workshop'.,Part 1 of the 'Nurtured by Nature Kids Workshop'.,VJBB Udyan & Zoo
39238,Mission LiFE awareness videos are being played on TV from 9 AM to 5 PM. The interaction centre is a place where people spend more time so showing the videos here will get their attention.,Tamil Nadu (TN),Chennai,Awareness,09-05-2023,100,Visitors watching Mission LiFE videos on TV,,MCBT
39280,"The pros of using cloth bags were discussed with the participants of the ""Be A Zookeeper"" program. Participants were given cloth bags to use instead of plastic bags. They were encouraged to stop using single use plastics that are harmful to the environment.",Tamil Nadu (TN),Chennai,Action & Awareness,14-05-2023,19,Back to totes!,,MCBT
41181,Healthy Life Style Adopted - Treasure Hunt – Theme: Flora and Fauna,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,14-05-2023,100,,,Indira Gandhi ZP
41256,Plantation Drive,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,14-05-2023,100,1. Healthy lifestyles Adopted,Healthy lifestyles Adopted,Indira Gandhi ZP
41294,Healthy lifestyles Adopted – on topic Biodiversity Conservation along with a Butterfly Trail,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,14-05-2023,120,1. Healthy lifestyles Adopted,,Indira Gandhi ZP
41295,Healthy lifestyles Adopted – on topic Biodiversity Conservation along with a Butterfly Trail,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness,14-05-2023,120,1. Healthy lifestyles Adopted,,Indira Gandhi ZP
